split,kelas,nama_file,path,ekstensi,ukuran_file_kb,width,height,aspect_ratio,mode,format,brightness,contrast,sharpness,corrupt,error,md5,mean_R,mean_G,mean_B
train,biological,biological_1.jpg,..\data\split\train\biological\biological_1.jpg,.jpg,7.4794921875,259,194,1.3350515463917525,RGB,JPEG,136.6869336199233,55.488279758391926,2244.5727083015067,False,,eb50feb27d88c5b1c5bff86db574959b,163.50398041635154,139.84753015165387,106.70929029176452
train,biological,biological_100.jpg,..\data\split\train\biological\biological_100.jpg,.jpg,10.93359375,259,194,1.3350515463917525,RGB,JPEG,98.43134445196301,71.69630072488445,2954.968869945681,False,,ff8d67f71f4cac204417e65ffcce34c3,156.62199976117503,75.73424750228874,62.93778609242527
train,biological,biological_101.jpg,..\data\split\train\biological\biological_101.jpg,.jpg,12.2421875,299,168,1.7797619047619047,RGB,JPEG,82.83963741572437,59.082669564778996,5766.572493852681,False,,b0f7d147c381be0a3b95b81ec9b71fe6,86.43394648829431,98.91746297181079,63.167502787068
train,biological,biological_103.jpg,..\data\split\train\biological\biological_103.jpg,.jpg,7.5517578125,225,225,1.0,RGB,JPEG,211.40569547325103,73.84228701715382,2327.914920014973,False,,a13f3538aa16847ebfed304f55d78306,236.75516049382716,206.80886913580247,190.65305679012346
train,biological,biological_104.jpg,..\data\split\train\biological\biological_104.jpg,.jpg,9.2529296875,300,168,1.7857142857142858,RGB,JPEG,108.79445105820106,64.90404062190977,2300.263163642842,False,,f9c863a2b22b45d6f5ad7d629f6c466d,108.13414682539683,141.88549603174604,76.36371031746032
train,biological,biological_105.jpg,..\data\split\train\biological\biological_105.jpg,.jpg,13.638671875,277,182,1.521978021978022,RGB,JPEG,140.42068340804803,70.71167017154892,5262.909425254249,False,,0d1178d8333fb8789a964e6764c6c539,170.6449795691673,142.0383226881422,108.57874796683461
train,biological,biological_106.jpg,..\data\split\train\biological\biological_106.jpg,.jpg,9.0546875,195,259,0.752895752895753,RGB,JPEG,123.18130218130219,61.45946887517204,2585.392795344586,False,,389758614dc07ec0e05905e562479ca9,140.42823482823482,122.28921888921889,106.82645282645282
train,biological,biological_107.jpg,..\data\split\train\biological\biological_107.jpg,.jpg,9.02734375,225,225,1.0,RGB,JPEG,69.94781893004115,57.19475019593532,2694.7439752330433,False,,4c9132ec48d855672aaad0f320914c28,83.50893827160493,78.08359506172839,48.250923456790126
train,biological,biological_108.jpg,..\data\split\train\biological\biological_108.jpg,.jpg,2.92578125,256,197,1.299492385786802,RGB,JPEG,226.21532624788495,63.44198325146678,1374.3651555096797,False,,3c6388ffcb9e3dcd37aecfd2a146625f,245.92925126903555,236.42919178299493,196.28753569162436
train,biological,biological_109.jpg,..\data\split\train\biological\biological_109.jpg,.jpg,4.0302734375,273,184,1.483695652173913,RGB,JPEG,146.4769536019536,78.89473459715964,1507.3397290355203,False,,94674b4841612d719d0c365e63d507e6,207.45015129797738,160.7106426182513,71.2700668896321
train,biological,biological_11.jpg,..\data\split\train\biological\biological_11.jpg,.jpg,8.3994140625,227,222,1.0225225225225225,RGB,JPEG,53.74208569803284,86.13154080365933,1788.6098663285775,False,,2b0a951beb147f0a54093f678adc2d35,85.8321625590348,56.64773584156844,18.746358693495257
train,biological,biological_112.jpg,..\data\split\train\biological\biological_112.jpg,.jpg,7.453125,246,205,1.2,RGB,JPEG,115.41273051754908,69.86788625719548,1972.8915863663708,False,,f1dba96c027b3c80d8a359a10040c7b8,163.2741225461035,109.64455681142178,73.31951219512194
